customerID,gender,SeniorCitizen,tenure,TenureGroup,Contract,InternetService,MonthlyCharges,TotalCharges,AvgMonthlySpend,Churn,ChurnFlag
1680-VDCWW,Male,0,12,0-1 yr,One year,No,19.8,202.25,15.557692307692308,No,0
1066-JKSGK,Male,0,1,0-1 yr,Month-to-month,No,20.15,20.15,10.075,Yes,1
3638-WEABW,Female,0,58,4-6 yrs,Two year,DSL,59.9,3505.1,59.40847457627118,No,0
6322-HRPFA,Male,0,49,4-6 yrs,Month-to-month,DSL,59.6,2970.3,59.406000000000006,No,0
6865-JZNKO,Female,0,30,2-4 yrs,Month-to-month,DSL,55.3,1530.6,49.37419354838709,No,0
6467-CHFZW,Male,0,47,2-4 yrs,Month-to-month,Fiber optic,99.35,4749.15,98.940625,Yes,1
8665-UTDHZ,Male,0,1,0-1 yr,Month-to-month,DSL,30.2,30.2,15.1,Yes,1
5248-YGIJN,Male,0,72,4-6 yrs,Two year,DSL,90.25,6369.45,87.2527397260274,No,0
8773-HHUOZ,Female,0,17,1-2 yrs,Month-to-month,DSL,64.7,1093.1,60.727777777777774,Yes,1
3841-NFECX,Female,1,71,4-6 yrs,Two year,Fiber optic,96.35,6766.95,93.98541666666667,No,0
4929-XIHVW,Male,1,2,0-1 yr,Month-to-month,Fiber optic,95.5,181.65,60.550000000000004,No,0
6827-IEAUQ,Female,0,27,2-4 yrs,One year,DSL,66.15,1874.45,66.94464285714285,No,0
7310-EGVHZ,Male,0,1,0-1 yr,Month-to-month,No,20.2,20.2,10.1,No,0
3413-BMNZE,Male,1,1,0-1 yr,Month-to-month,DSL,45.25,45.25,22.625,No,0
6234-RAAPL,Female,0,72,4-6 yrs,Two year,Fiber optic,99.9,7251.7,99.33835616438355,No,0
6047-YHPVI,Male,0,5,0-1 yr,Month-to-month,Fiber optic,69.7,316.9,52.81666666666666,Yes,1
6572-ADKRS,Female,0,46,2-4 yrs,Month-to-month,Fiber optic,74.8,3548.3,75.49574468085106,No,0
5380-WJKOV,Male,0,34,2-4 yrs,Month-to-month,Fiber optic,106.35,3549.25,101.40714285714286,Yes,1
8168-UQWWF,Female,0,11,0-1 yr,Month-to-month,Fiber optic,97.85,1105.4,92.11666666666667,Yes,1
8865-TNMNX,Male,0,10,0-1 yr,One year,DSL,49.55,475.7,43.24545454545454,No,0
9489-DEDVP,Female,0,70,4-6 yrs,Two year,DSL,69.2,4872.35,68.62464788732395,No,0
9867-JCZSP,Female,0,17,1-2 yrs,One year,No,20.75,418.25,23.23611111111111,No,0
4671-VJLCL,Female,0,63,4-6 yrs,Two year,DSL,79.85,4861.45,75.96015625,No,0
4080-IIARD,Female,0,13,1-2 yrs,Month-to-month,DSL,76.2,981.45,70.10357142857143,No,0
3714-NTNFO,Female,0,49,4-6 yrs,Month-to-month,Fiber optic,84.5,3906.7,78.134,No,0
5948-UJZLF,Male,0,2,0-1 yr,Month-to-month,DSL,49.25,97.0,32.333333333333336,No,0
7760-OYPDY,Female,0,2,0-1 yr,Month-to-month,Fiber optic,80.65,144.15,48.050000000000004,Yes,1
7639-LIAYI,Male,0,52,4-6 yrs,Two year,DSL,79.75,4217.8,79.5811320754717,No,0
2954-PIBKO,Female,0,69,4-6 yrs,Two year,DSL,64.15,4254.1,60.77285714285715,No,0
8012-SOUDQ,Female,1,43,2-4 yrs,Month-to-month,Fiber optic,90.25,3838.75,87.24431818181819,No,0
9420-LOJKX,Female,0,15,1-2 yrs,Month-to-month,Fiber optic,99.1,1426.4,89.15,Yes,1
6575-SUVOI,Female,1,25,2-4 yrs,Month-to-month,DSL,69.5,1752.65,67.40961538461539,No,0
7495-OOKFY,Female,1,8,0-1 yr,Month-to-month,Fiber optic,80.65,633.3,70.36666666666666,Yes,1
4667-QONEA,Female,1,60,4-6 yrs,One year,DSL,74.85,4456.35,73.05491803278689,No,0
1658-BYGOY,Male,1,18,1-2 yrs,Month-to-month,Fiber optic,95.45,1752.55,92.23947368421052,Yes,1
8769-KKTPH,Female,0,63,4-6 yrs,One year,Fiber optic,99.65,6311.2,98.6125,No,0
5067-XJQFU,Male,1,66,4-6 yrs,One year,Fiber optic,108.45,7076.35,105.61716417910448,No,0
3957-SQXML,Female,0,34,2-4 yrs,Two year,No,24.95,894.3,25.55142857142857,No,0
5954-BDFSG,Female,0,72,4-6 yrs,Two year,Fiber optic,107.5,7853.7,107.58493150684932,No,0
0434-CSFON,Female,0,47,2-4 yrs,Month-to-month,Fiber optic,100.5,4707.1,98.06458333333335,No,0
1215-FIGMP,Male,0,60,4-6 yrs,Month-to-month,Fiber optic,89.9,5450.7,89.35573770491803,No,0
0526-SXDJP,Male,0,72,4-6 yrs,Two year,DSL,42.1,2962.0,40.57534246575342,No,0
0557-ASKVU,Female,0,18,1-2 yrs,One year,DSL,54.4,957.1,50.373684210526314,No,0
5698-BQJOH,Female,0,9,0-1 yr,Month-to-month,Fiber optic,94.4,857.25,85.725,Yes,1
5122-CYFXA,Female,0,3,0-1 yr,Month-to-month,DSL,75.3,244.1,61.025,No,0
8627-ZYGSZ,Male,0,47,2-4 yrs,One year,Fiber optic,78.9,3650.35,76.04895833333333,No,0
3410-YOQBQ,Female,0,31,2-4 yrs,Two year,DSL,79.2,2497.2,78.0375,No,0
3170-NMYVV,Female,0,50,4-6 yrs,Two year,No,20.15,930.9,18.25294117647059,No,0
7410-OIEDU,Male,0,10,0-1 yr,Month-to-month,Fiber optic,79.85,887.35,80.66818181818182,No,0
2273-QCKXA,Male,0,1,0-1 yr,Month-to-month,DSL,49.05,49.05,24.525,No,0
0731-EBJQB,Female,0,52,4-6 yrs,One year,No,20.4,1090.65,20.578301886792456,No,0
1891-QRQSA,Male,1,64,4-6 yrs,Two year,Fiber optic,111.6,7099.0,109.21538461538462,No,0
8028-PNXHQ,Male,0,62,4-6 yrs,Two year,No,24.25,1424.6,22.61269841269841,No,0
5630-AHZIL,Female,0,3,0-1 yr,Month-to-month,DSL,64.5,177.4,44.35,No,0
2673-CXQEU,Female,1,56,4-6 yrs,One year,Fiber optic,110.5,6139.5,107.71052631578948,No,0
6416-JNVRK,Female,0,46,2-4 yrs,One year,DSL,55.65,2688.85,57.2095744680851,No,0
5590-ZSKRV,Female,0,8,0-1 yr,Month-to-month,DSL,54.65,482.25,53.583333333333336,No,0
0191-ZHSKZ,Male,1,30,2-4 yrs,Month-to-month,DSL,74.75,2111.3,68.10645161290323,No,0
3887-PBQAO,Female,0,45,2-4 yrs,One year,No,25.9,1216.6,26.44782608695652,No,0
5919-TMRGD,Female,0,1,0-1 yr,Month-to-month,Fiber optic,79.35,79.35,39.675,Yes,1
8108-UXRQN,Female,0,11,0-1 yr,Month-to-month,DSL,50.55,565.35,47.112500000000004,No,0
9191-MYQKX,Female,0,7,0-1 yr,Month-to-month,Fiber optic,75.15,496.9,62.1125,Yes,1
9919-YLNNG,Female,0,42,2-4 yrs,Month-to-month,Fiber optic,103.8,4327.5,100.63953488372093,No,0
0318-ZOPWS,Female,0,49,4-6 yrs,Two year,No,20.15,973.35,19.467,No,0
4445-ZJNMU,Male,0,9,0-1 yr,Month-to-month,Fiber optic,99.3,918.75,91.875,No,0
4808-YNLEU,Female,0,35,2-4 yrs,One year,DSL,62.15,2215.45,61.540277777777774,No,0
1862-QRWPE,Female,0,48,2-4 yrs,Two year,No,20.65,1057.0,21.571428571428573,No,0
2796-NNUFI,Female,0,46,2-4 yrs,Two year,No,19.95,927.1,19.72553191489362,No,0
3016-KSVCP,Male,0,29,2-4 yrs,Month-to-month,DSL,33.75,1009.25,33.641666666666666,No,0
4767-HZZHQ,Male,0,30,2-4 yrs,Month-to-month,Fiber optic,82.05,2570.2,82.90967741935484,No,0
2424-WVHPL,Male,1,1,0-1 yr,Month-to-month,Fiber optic,74.7,74.7,37.35,No,0
7233-PAHHL,Male,0,66,4-6 yrs,Two year,DSL,84.0,5714.25,85.28731343283582,No,0
6067-NGCEU,Female,0,65,4-6 yrs,Month-to-month,Fiber optic,111.05,7107.0,107.68181818181819,No,0
9848-JQJTX,Male,0,72,4-6 yrs,Two year,Fiber optic,100.9,7459.05,102.17876712328767,No,0
8637-XJIVR,Female,0,12,0-1 yr,Month-to-month,Fiber optic,78.95,927.35,71.33461538461539,Yes,1
9803-FTJCG,Male,0,71,4-6 yrs,One year,DSL,66.85,4748.7,65.95416666666667,No,0
0278-YXOOG,Male,0,5,0-1 yr,Month-to-month,No,21.05,113.85,18.974999999999998,Yes,1
3212-KXOCR,Male,0,52,4-6 yrs,Two year,No,21.0,1107.2,20.89056603773585,No,0
4598-XLKNJ,Female,1,25,2-4 yrs,Month-to-month,Fiber optic,98.5,2514.5,96.71153846153847,Yes,1
6380-ARCEH,Male,0,1,0-1 yr,Month-to-month,No,20.2,20.2,10.1,No,0
3679-XASPY,Female,0,1,0-1 yr,Month-to-month,No,19.45,19.45,9.725,No,0
7123-WQUHX,Male,0,38,2-4 yrs,One year,Fiber optic,95.0,3605.6,92.45128205128205,No,0
5386-THSLQ,Female,1,66,4-6 yrs,One year,DSL,45.55,3027.25,45.18283582089552,No,0
3192-NQECA,Male,0,68,4-6 yrs,Two year,Fiber optic,110.0,7611.85,110.31666666666668,Yes,1
6180-YBIQI,Male,0,5,0-1 yr,Month-to-month,DSL,24.3,100.2,16.7,No,0
6728-DKUCO,Female,0,72,4-6 yrs,One year,Fiber optic,104.15,7303.05,100.04178082191781,No,0
9750-BOOHV,Female,0,32,2-4 yrs,One year,DSL,30.15,927.65,28.11060606060606,No,0
8597-CWYHH,Male,0,43,2-4 yrs,One year,Fiber optic,94.35,3921.3,89.12045454545455,No,0
2848-YXSMW,Male,0,72,4-6 yrs,Two year,No,19.4,1363.25,18.674657534246574,No,0
0486-HECZI,Male,0,55,4-6 yrs,Month-to-month,Fiber optic,96.75,5238.9,93.55178571428571,Yes,1
4549-ZDQYY,Female,0,52,4-6 yrs,One year,DSL,57.95,3042.25,57.40094339622642,No,0
5712-AHQNN,Female,0,43,2-4 yrs,Month-to-month,Fiber optic,91.65,3954.1,89.86590909090908,No,0
4846-WHAFZ,Female,1,37,2-4 yrs,Month-to-month,Fiber optic,76.5,2868.15,75.47763157894737,Yes,1
5256-SKJGO,Female,0,64,4-6 yrs,Two year,DSL,54.6,3423.5,52.66923076923077,No,0
3071-VBYPO,Male,0,3,0-1 yr,Month-to-month,Fiber optic,89.85,248.4,62.1,No,0
9560-BBZXK,Female,0,36,2-4 yrs,Two year,DSL,31.05,1126.35,30.44189189189189,No,0
5299-RULOA,Female,0,10,0-1 yr,Month-to-month,Fiber optic,100.25,1064.65,96.78636363636365,Yes,1
8402-OOOHJ,Female,0,41,2-4 yrs,Two year,No,20.65,835.15,19.88452380952381,No,0
9445-ZUEQE,Male,0,27,2-4 yrs,Month-to-month,Fiber optic,85.2,2151.6,76.84285714285714,No,0
1091-SOZGA,Female,0,56,4-6 yrs,One year,Fiber optic,99.8,5515.45,96.76228070175438,No,0
2928-HLDBA,Female,0,6,0-1 yr,Month-to-month,No,20.7,112.75,16.107142857142858,No,0
0404-SWRVG,Male,0,3,0-1 yr,Month-to-month,Fiber optic,74.4,229.55,57.3875,Yes,1
6497-TILVL,Female,0,7,0-1 yr,Month-to-month,DSL,50.7,350.35,43.79375,No,0
7219-TLZHO,Female,0,4,0-1 yr,Month-to-month,No,20.85,62.9,12.58,No,0
4622-YNKIJ,Male,0,33,2-4 yrs,Two year,Fiber optic,88.95,3027.65,89.0485294117647,No,0
4412-YLTKF,Female,1,27,2-4 yrs,Month-to-month,Fiber optic,78.05,2135.5,76.26785714285714,Yes,1
6734-PSBAW,Male,0,72,4-6 yrs,Two year,No,23.55,1723.95,23.615753424657534,No,0
3930-ZGWVE,Male,0,1,0-1 yr,Month-to-month,No,19.75,19.75,9.875,No,0
2639-UGMAZ,Male,1,71,4-6 yrs,One year,DSL,56.45,3985.35,55.35208333333333,No,0
2876-GZYZC,Female,0,13,1-2 yrs,Month-to-month,Fiber optic,85.95,1215.65,86.83214285714287,No,0
6207-WIOLX,Female,0,25,2-4 yrs,Month-to-month,DSL,58.6,1502.65,57.79423076923077,Yes,1
8587-XYZSF,Male,0,67,4-6 yrs,Two year,DSL,50.55,3260.1,47.942647058823525,No,0
3091-FYHKI,Male,0,1,0-1 yr,Month-to-month,DSL,35.45,35.45,17.725,Yes,1
2372-HWUHI,Male,0,2,0-1 yr,Month-to-month,DSL,44.35,81.25,27.083333333333332,Yes,1
7799-LGRDP,Female,0,43,2-4 yrs,Two year,No,25.7,1188.2,27.004545454545454,No,0
7850-VWJUU,Female,0,23,1-2 yrs,Month-to-month,Fiber optic,75.0,1778.5,74.10416666666667,No,0
3774-VBNXY,Female,0,64,4-6 yrs,Two year,No,20.2,1277.75,19.657692307692308,No,0
6217-KDYWC,Male,0,57,4-6 yrs,Two year,No,19.6,1170.55,20.181896551724137,No,0
0390-DCFDQ,Female,1,1,0-1 yr,Month-to-month,Fiber optic,70.45,70.45,35.225,Yes,1
3146-MSEGF,Female,1,72,4-6 yrs,Two year,DSL,88.05,6425.65,88.02260273972603,No,0
4080-OGPJL,Female,0,8,0-1 yr,Month-to-month,DSL,71.15,563.65,62.62777777777777,Yes,1
1095-WGNGG,Female,0,61,4-6 yrs,Two year,Fiber optic,101.05,5971.25,96.31048387096774,No,0
2636-SJDOU,Male,0,64,4-6 yrs,One year,Fiber optic,84.3,5289.05,81.37,No,0
1131-QQZEB,Male,1,71,4-6 yrs,Two year,No,23.95,1756.2,24.391666666666666,No,0
5716-EZXZN,Female,0,65,4-6 yrs,Two year,Fiber optic,99.05,6416.7,97.22272727272727,No,0
6837-BJYDQ,Male,0,3,0-1 yr,One year,No,19.6,61.35,15.3375,No,0
2135-RXIHG,Male,0,1,0-1 yr,Month-to-month,DSL,45.65,45.65,22.825,Yes,1
6440-DKQGE,Male,0,30,2-4 yrs,One year,DSL,64.5,1929.95,62.25645161290323,No,0
3466-BYAVD,Male,0,15,1-2 yrs,Month-to-month,DSL,69.5,1071.4,66.9625,No,0
3780-YVMFA,Female,0,8,0-1 yr,Month-to-month,DSL,68.55,564.35,62.705555555555556,No,0
3874-EQOEP,Male,0,7,0-1 yr,Month-to-month,Fiber optic,95.0,655.5,81.9375,Yes,1
1679-JRFBR,Female,0,70,4-6 yrs,One year,Fiber optic,108.15,7930.55,111.69788732394366,No,0
9073-ZZIAY,Male,0,62,4-6 yrs,Two year,DSL,86.1,5215.25,82.78174603174604,No,0
3077-RSNTJ,Female,0,6,0-1 yr,Month-to-month,No,19.7,113.5,16.214285714285715,No,0
6551-GNYDG,Female,0,14,1-2 yrs,Month-to-month,Fiber optic,80.9,1152.8,76.85333333333332,No,0
9167-APMXZ,Female,0,22,1-2 yrs,Month-to-month,Fiber optic,84.15,1821.95,79.21521739130435,No,0
2749-CTKAJ,Male,0,22,1-2 yrs,One year,No,20.15,419.9,18.256521739130434,No,0
6371-NZYEG,Male,0,16,1-2 yrs,Two year,DSL,64.25,1024.0,60.23529411764706,No,0
7554-NEWDD,Male,0,10,0-1 yr,Two year,No,25.7,251.6,22.87272727272727,No,0
8992-VONJD,Female,0,13,1-2 yrs,Month-to-month,DSL,56.0,764.55,54.61071428571428,No,0
0867-MKZVY,Female,0,20,1-2 yrs,Month-to-month,Fiber optic,82.4,1592.35,75.82619047619048,Yes,1
4482-EWFMI,Female,0,2,0-1 yr,Month-to-month,Fiber optic,69.7,135.2,45.06666666666666,No,0
4648-YPBTM,Male,0,53,4-6 yrs,Two year,DSL,73.9,3958.25,73.30092592592592,No,0
2907-ILJBN,Female,0,11,0-1 yr,One year,No,20.6,233.9,19.491666666666667,No,0
6345-FZOQH,Male,0,69,4-6 yrs,Two year,No,19.9,1363.45,19.477857142857143,No,0
3376-BMGFE,Female,0,4,0-1 yr,Month-to-month,Fiber optic,70.9,273.0,54.6,Yes,1
5997-OPVFA,Male,0,72,4-6 yrs,Two year,DSL,89.05,6254.45,85.67739726027396,No,0
3445-HXXGF,Male,1,58,4-6 yrs,Month-to-month,DSL,45.3,2651.2,44.93559322033898,Yes,1
1159-WFSGR,Female,0,16,1-2 yrs,Month-to-month,No,20.4,321.4,18.905882352941177,No,0
7654-YWJUF,Male,0,43,2-4 yrs,One year,Fiber optic,84.25,3539.25,80.4375,No,0
1875-QIVME,Female,0,2,0-1 yr,Month-to-month,Fiber optic,104.4,242.8,80.93333333333334,Yes,1
6727-IOTLZ,Male,0,14,1-2 yrs,Two year,DSL,81.95,1181.75,78.78333333333333,No,0
0691-JVSYA,Female,0,53,4-6 yrs,One year,Fiber optic,94.85,5000.2,92.59629629629629,Yes,1
5918-VUKWP,Female,0,32,2-4 yrs,One year,No,20.55,654.55,19.834848484848482,No,0
1744-JHKYS,Female,0,34,2-4 yrs,Month-to-month,No,24.7,780.2,22.291428571428572,No,0
2656-FMOKZ,Female,1,15,1-2 yrs,Month-to-month,Fiber optic,74.45,1145.7,71.60625,Yes,1
2070-FNEXE,Female,1,7,0-1 yr,Month-to-month,Fiber optic,76.45,503.6,62.95,Yes,1
5947-SGKCL,Female,0,15,1-2 yrs,Month-to-month,Fiber optic,105.35,1559.25,97.453125,No,0
3712-PKXZA,Male,0,61,4-6 yrs,One year,No,20.55,1252.0,20.193548387096776,No,0
6317-YPKDH,Female,0,1,0-1 yr,Month-to-month,DSL,29.95,29.95,14.975,Yes,1
6582-OIVSP,Female,0,1,0-1 yr,Month-to-month,DSL,45.3,45.3,22.65,No,0
9367-WXLCH,Male,0,8,0-1 yr,Month-to-month,Fiber optic,84.5,662.65,73.62777777777778,Yes,1
5524-KHNJP,Male,0,33,2-4 yrs,One year,DSL,74.75,2453.3,72.15588235294118,No,0
1918-ZBFQJ,Female,0,13,1-2 yrs,Month-to-month,Fiber optic,79.25,1111.65,79.40357142857144,Yes,1
1024-GUALD,Female,0,1,0-1 yr,Month-to-month,DSL,24.8,24.8,12.4,Yes,1
4827-USJHP,Male,0,20,1-2 yrs,Month-to-month,DSL,51.8,1023.85,48.75476190476191,No,0
8167-GJLRN,Male,0,3,0-1 yr,Month-to-month,DSL,30.4,82.15,20.5375,No,0
0956-SYCWG,Female,0,13,1-2 yrs,One year,No,19.65,244.8,17.485714285714288,No,0
8017-UVSZU,Female,0,40,2-4 yrs,Month-to-month,DSL,56.6,2379.1,58.02682926829268,No,0
7100-FQPRV,Male,0,43,2-4 yrs,One year,DSL,71.9,3173.35,72.12159090909091,No,0
2472-OVKUP,Male,0,6,0-1 yr,Month-to-month,Fiber optic,91.0,531.0,75.85714285714286,Yes,1
2984-RGEYA,Female,0,69,4-6 yrs,Two year,No,19.75,1375.4,19.64857142857143,No,0
9680-NIAUV,Female,0,72,4-6 yrs,Two year,Fiber optic,109.7,8129.3,111.36027397260274,No,0
2146-EGVDT,Male,0,59,4-6 yrs,Two year,No,19.3,1192.7,19.878333333333334,No,0
2604-IJPDU,Female,0,20,1-2 yrs,Month-to-month,Fiber optic,96.55,1901.65,90.5547619047619,No,0
9178-JHUVJ,Male,0,24,1-2 yrs,Two year,No,24.1,587.4,23.496,No,0
6168-YBYNP,Male,0,59,4-6 yrs,Month-to-month,Fiber optic,111.35,6519.75,108.6625,No,0
7255-SSFBC,Male,0,72,4-6 yrs,Two year,Fiber optic,112.25,8041.65,110.15958904109588,No,0
3645-DEYGF,Male,0,1,0-1 yr,Month-to-month,No,20.75,20.75,10.375,No,0
9323-HGFWY,Female,0,27,2-4 yrs,One year,Fiber optic,101.9,2681.15,95.75535714285715,No,0
8544-GOQSH,Female,0,14,1-2 yrs,Month-to-month,Fiber optic,80.05,1112.3,74.15333333333334,No,0
3363-DTIVD,Male,0,71,4-6 yrs,Two year,Fiber optic,105.55,7405.5,102.85416666666667,No,0
7018-WBJNK,Male,0,13,1-2 yrs,Month-to-month,Fiber optic,78.3,1033.95,73.85357142857143,No,0
9142-KZXOP,Male,0,44,2-4 yrs,Month-to-month,Fiber optic,68.85,2958.95,65.75444444444445,No,0
7674-YTAFD,Female,0,33,2-4 yrs,One year,Fiber optic,79.95,2684.85,78.96617647058824,No,0
6348-SNFUS,Male,0,72,4-6 yrs,Two year,DSL,55.45,4179.2,57.249315068493146,No,0
1285-OKIPP,Male,0,1,0-1 yr,Month-to-month,Fiber optic,79.9,79.9,39.95,Yes,1
7825-ECJRF,Female,0,19,1-2 yrs,Month-to-month,Fiber optic,106.6,1934.45,96.7225,Yes,1
1347-KTTTA,Male,0,64,4-6 yrs,One year,Fiber optic,102.45,6654.1,102.37076923076924,No,0
7841-TZDMQ,Male,0,2,0-1 yr,Month-to-month,DSL,46.0,84.5,28.166666666666668,Yes,1
4195-NZGTA,Female,0,1,0-1 yr,Month-to-month,DSL,25.25,25.25,12.625,No,0
7157-SMCFK,Male,0,61,4-6 yrs,Two year,No,19.75,1124.2,18.13225806451613,No,0
4709-LKHYG,Female,0,29,2-4 yrs,One year,No,20.0,540.05,18.001666666666665,No,0
2504-DSHIH,Male,1,23,1-2 yrs,Month-to-month,Fiber optic,86.8,1975.85,82.32708333333333,No,0
0699-NDKJM,Female,0,57,4-6 yrs,Month-to-month,DSL,58.75,3437.45,59.266379310344824,No,0
9286-BHDQG,Male,0,72,4-6 yrs,Two year,DSL,45.25,3139.8,43.01095890410959,No,0
0230-WEQUW,Male,0,66,4-6 yrs,Two year,DSL,56.6,3789.2,56.55522388059701,No,0
2040-LDIWQ,Male,0,65,4-6 yrs,Two year,DSL,84.2,5324.5,80.67424242424242,No,0
6496-JDSSB,Female,0,8,0-1 yr,Month-to-month,Fiber optic,80.0,624.6,69.4,No,0
9408-SSNVZ,Female,0,4,0-1 yr,Month-to-month,Fiber optic,70.15,268.35,53.67,Yes,1
4443-EMBNA,Female,0,71,4-6 yrs,Two year,No,24.75,1836.9,25.512500000000003,No,0
6469-MRVET,Male,0,1,0-1 yr,One year,No,20.2,20.2,10.1,No,0
0742-MOABM,Male,0,4,0-1 yr,Month-to-month,DSL,50.05,179.35,35.87,Yes,1
5961-VUSRV,Female,0,12,0-1 yr,One year,No,19.35,219.35,16.873076923076923,No,0
6778-JFCMK,Male,0,24,1-2 yrs,One year,DSL,50.6,1288.75,51.55,No,0
6341-JVQGF,Female,0,31,2-4 yrs,One year,DSL,81.15,2545.75,79.5546875,No,0
2232-DMLXU,Female,0,1,0-1 yr,Month-to-month,DSL,55.2,55.2,27.6,Yes,1
4811-JBUVU,Male,0,30,2-4 yrs,Month-to-month,Fiber optic,89.9,2723.15,87.84354838709677,No,0
0945-TSONX,Female,0,47,2-4 yrs,Two year,DSL,85.3,4107.25,85.56770833333333,No,0
2651-ZCBXV,Male,0,54,4-6 yrs,Two year,Fiber optic,108.0,5760.65,104.7390909090909,No,0
3316-UWXUY,Male,0,50,4-6 yrs,Month-to-month,Fiber optic,93.5,4747.5,93.08823529411765,No,0
8937-RDTHP,Male,0,1,0-1 yr,Month-to-month,Fiber optic,84.6,84.6,42.3,Yes,1
7083-MIOPC,Female,0,72,4-6 yrs,Two year,No,20.25,1566.9,21.464383561643835,No,0
1984-GPTEH,Female,0,29,2-4 yrs,Month-to-month,No,25.15,702.0,23.4,No,0
1251-KRREG,Male,0,2,0-1 yr,Month-to-month,DSL,54.4,114.1,38.03333333333333,Yes,1
0621-JFHOL,Female,0,10,0-1 yr,Two year,DSL,29.6,299.05,27.186363636363637,No,0
9903-LYSAB,Male,0,18,1-2 yrs,Month-to-month,Fiber optic,73.15,1305.95,68.73421052631579,No,0
0094-OIFMO,Female,1,11,0-1 yr,Month-to-month,Fiber optic,95.0,1120.3,93.35833333333333,Yes,1
9227-UAQFT,Male,0,16,1-2 yrs,Two year,No,19.75,284.35,16.726470588235294,No,0
7301-ABVAD,Female,0,72,4-6 yrs,Two year,DSL,86.6,6350.5,86.9931506849315,No,0
6614-FHDBO,Male,0,72,4-6 yrs,Two year,Fiber optic,109.2,7878.3,107.92191780821918,No,0
7576-ASEJU,Female,0,41,2-4 yrs,One year,DSL,74.7,3187.65,75.89642857142857,No,0
9058-HRZSV,Female,1,65,4-6 yrs,Month-to-month,Fiber optic,94.4,6126.15,92.82045454545454,No,0
4522-AKYLR,Female,1,13,1-2 yrs,Month-to-month,DSL,54.8,731.3,52.23571428571428,No,0
0221-WMXNQ,Male,1,4,0-1 yr,Month-to-month,Fiber optic,75.35,273.4,54.67999999999999,No,0
0303-UNCIP,Male,0,41,2-4 yrs,One year,DSL,65.0,2531.8,60.280952380952385,No,0
9947-OTFQU,Male,1,15,1-2 yrs,Month-to-month,Fiber optic,74.4,1074.3,67.14375,Yes,1
0322-YINQP,Male,0,1,0-1 yr,Month-to-month,DSL,48.55,48.55,24.275,Yes,1
0959-WHOKV,Male,0,42,2-4 yrs,One year,Fiber optic,99.0,4298.45,99.96395348837208,No,0
4075-JFPGR,Female,0,51,4-6 yrs,One year,Fiber optic,93.5,4619.55,88.8375,No,0
4629-NRXKX,Female,0,2,0-1 yr,Month-to-month,Fiber optic,70.4,147.15,49.050000000000004,Yes,1
9514-JDSKI,Male,1,1,0-1 yr,Month-to-month,DSL,40.2,40.2,20.1,Yes,1
3282-ZISZV,Male,0,32,2-4 yrs,One year,DSL,83.7,2633.3,79.7969696969697,No,0
3675-YDUPJ,Male,0,10,0-1 yr,Month-to-month,No,19.85,193.05,17.55,No,0
